"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2021","8.4434","8.4239","8.4971","8.3709","","0.10%"
"08/17/2021","8.4346","8.4592","8.4925","8.3667","","0.13%"
"08/16/2021","8.4239","8.4490","8.4887","8.3671","","-0.44%"
"08/16/2021","8.4612","8.5274","8.5373","8.4242","","0.05%"
"08/15/2021","8.4567","8.5171","8.5291","8.4242","","-0.79%"
"08/13/2021","8.5241","8.5386","8.5858","8.4910","","0.08%"
"08/12/2021","8.5171","8.5657","8.5787","8.4963","","-0.48%"
"08/12/2021","8.5584","8.6327","8.6444","8.5011","","-0.07%"
"08/11/2021","8.5647","8.6238","8.6324","8.4880","","-0.77%"
"08/11/2021","8.6311","8.5907","8.6862","8.5404","","0.08%"
"08/10/2021","8.6238","8.6070","8.6806","8.5473","","0.19%"
"08/10/2021","8.6076","8.6393","8.6785","8.5562","","0.17%"
"08/09/2021","8.5928","8.6512","8.6713","8.4745","","-0.71%"
"08/09/2021","8.6540","8.6266","8.6789","8.6014","","0.07%"
"08/08/2021","8.6481","8.6160","8.6700","8.5803","","0.20%"
"08/06/2021","8.6306","8.5266","8.6556","8.5096","","0.17%"
"08/05/2021","8.6160","8.5241","8.6419","8.5045","","1.02%"
"08/05/2021","8.5290","8.4777","8.5763","8.4580","","0.14%"
"08/04/2021","8.5171","8.4777","8.5713","8.4555","","0.46%"
"08/04/2021","8.4784","8.4078","8.4969","8.3637","","0.04%"
"08/03/2021","8.4749","8.4063","8.4912","8.3665","","0.79%"
"08/03/2021","8.4085","8.3520","8.4488","8.2763","","0.09%"
"08/02/2021","8.4013","8.3516","8.4445","8.2795","","0.58%"
"08/02/2021","8.3529","8.4609","8.4858","8.3170","","0.02%"
"08/01/2021","8.3513","8.4490","8.4761","8.3285","","-1.21%"
"07/30/2021","8.4540","8.4735","8.5060","8.3927","","0.25%"
"07/29/2021","8.4333","8.4555","8.4889","8.3785","","-0.23%"
"07/29/2021","8.4525","8.5635","8.5748","8.4345","","-0.04%"
"07/28/2021","8.4555","8.5498","8.5598","8.4245","","-1.17%"
"07/28/2021","8.5552","8.5540","8.5829","8.5259","","0.02%"
"07/27/2021","8.5536","8.5562","8.5792","8.5265","","-0.14%"
"07/27/2021","8.5654","8.5576","8.5886","8.5327","","0.04%"
"07/26/2021","8.5619","8.5526","8.5824","8.5370","","0.04%"
"07/26/2021","8.5589","8.5584","8.6304","8.5215","","0.07%"
"07/25/2021","8.5526","8.5471","8.6262","8.5295","","-0.03%"
"07/23/2021","8.5554","8.5655","8.5742","8.5063","","0.10%"
"07/22/2021","8.5471","8.5612","8.5681","8.5105","","-0.17%"
"07/22/2021","8.5620","8.5249","8.5839","8.5149","","0.01%"
"07/21/2021","8.5615","8.5663","8.5755","8.5215","","-0.02%"
"07/21/2021","8.5635","8.5692","8.6100","8.5174","","-0.10%"
"07/20/2021","8.5720","8.5572","8.6043","8.5360","","0.00%"
"07/20/2021","8.5720","8.5883","8.6135","8.5056","","0.17%"
"07/19/2021","8.5574","8.5877","8.5985","8.5315","","-0.28%"
"07/19/2021","8.5816","8.5320","8.6197","8.4819","","0.05%"
"07/18/2021","8.5772","8.4783","8.6102","8.4783","","0.63%"
"07/16/2021","8.5237","8.5708","8.5887","8.4733","","0.11%"
"07/15/2021","8.5144","8.5641","8.5820","8.4695","","-0.65%"
"07/15/2021","8.5705","8.5924","8.5999","8.5379","","0.05%"
"07/14/2021","8.5664","8.5903","8.5910","8.5325","","-0.30%"
"07/14/2021","8.5919","8.6249","8.6540","8.5680","","0.17%"
"07/13/2021","8.5774","8.6111","8.6468","8.5650","","-0.56%"
"07/13/2021","8.6255","8.6433","8.6627","8.5682","","0.21%"
"07/12/2021","8.6078","8.6344","8.6430","8.5705","","-0.38%"
"07/12/2021","8.6409","8.6676","8.6791","8.6135","","0.05%"
"07/11/2021","8.6363","8.6434","8.6726","8.6085","","-0.28%"
"07/09/2021","8.6607","8.6903","8.7188","8.6236","","0.17%"
"07/08/2021","8.6461","8.6898","8.7050","8.6310","","-0.57%"
"07/08/2021","8.6955","8.6890","8.7356","8.6608","","0.08%"
"07/07/2021","8.6887","8.6806","8.7309","8.6585","","-0.02%"
"07/07/2021","8.6903","8.6943","8.7172","8.6371","","0.10%"
"07/06/2021","8.6812","8.6836","8.7105","8.6385","","-0.12%"
"07/06/2021","8.6919","8.6694","8.7074","8.6185","","0.11%"
"07/05/2021","8.6820","8.6600","8.7026","8.6185","","0.11%"
"07/05/2021","8.6723","8.6869","8.7197","8.6457","","0.12%"
"07/04/2021","8.6616","8.6792","8.7124","8.6380","","-0.33%"
"07/02/2021","8.6899","8.6609","8.7331","8.6427","","0.12%"
"07/01/2021","8.6792","8.6450","8.7219","8.6450","","0.18%"
"07/01/2021","8.6635","8.7115","8.7337","8.6362","","0.20%"
"06/30/2021","8.6461","8.6978","8.7231","8.6280","","-0.72%"
"06/30/2021","8.7087","8.7335","8.7476","8.6290","","0.11%"
"06/29/2021","8.6991","8.7235","8.7429","8.6325","","-0.45%"
"06/29/2021","8.7383","8.6759","8.7540","8.6464","","0.08%"
"06/28/2021","8.7310","8.6815","8.7461","8.6635","","0.47%"
"06/28/2021","8.6898","8.7687","8.7726","8.6697","","0.06%"
"06/27/2021","8.6843","8.7493","8.7682","8.6645","","-0.93%"
"06/25/2021","8.7659","8.6901","8.8158","8.6546","","0.19%"
"06/24/2021","8.7493","8.7026","8.7992","8.6485","","0.47%"
"06/24/2021","8.7088","8.6399","8.7218","8.6204","","0.18%"
"06/23/2021","8.6930","8.6248","8.7133","8.6135","","0.58%"
"06/23/2021","8.6425","8.6533","8.6850","8.5832","","0.18%"
"06/22/2021","8.6268","8.6375","8.6747","8.5875","","-0.30%"
"06/22/2021","8.6531","8.7723","8.8032","8.6317","","0.14%"
"06/21/2021","8.6412","8.7712","8.7943","8.6245","","-1.47%"
"06/21/2021","8.7699","8.7393","8.8001","8.7066","","-0.07%"
"06/20/2021","8.7759","8.7257","8.7937","8.7015","","0.39%"
"06/18/2021","8.7418","8.7244","8.7661","8.6432","","0.18%"
"06/17/2021","8.7257","8.7095","8.7486","8.6340","","0.07%"
"06/17/2021","8.7199","8.6054","8.7358","8.5877","","0.06%"
"06/16/2021","8.7143","8.6012","8.7282","8.5805","","1.25%"
"06/16/2021","8.6071","8.5522","8.6331","8.4800","","0.05%"
"06/15/2021","8.6029","8.5418","8.6297","8.4765","","0.53%"
"06/15/2021","8.5573","8.4739","8.5984","8.4328","","0.01%"
"06/14/2021","8.5566","8.4541","8.5899","8.4285","","1.04%"
"06/14/2021","8.4689","8.3906","8.4909","8.2903","","0.20%"
"06/13/2021","8.4520","8.4203","8.4782","8.3058","","0.78%"
"06/11/2021","8.3868","8.4217","8.4492","8.2550","","0.06%"
"06/10/2021","8.3818","8.4240","8.4463","8.2645","","-0.54%"
"06/10/2021","8.4269","8.5822","8.5995","8.4050","","0.04%"
"06/09/2021","8.4238","8.5805","8.5973","8.4015","","-1.91%"
"06/09/2021","8.5882","8.6096","8.6278","8.5586","","0.09%"
"06/08/2021","8.5806","8.6017","8.6210","8.5505","","-0.28%"
"06/08/2021","8.6050","8.6150","8.6385","8.5632","","0.03%"
"06/07/2021","8.6027","8.6167","8.6335","8.5675","","0.15%"
"06/07/2021","8.5895","8.6702","8.7023","8.5865","","-0.28%"
"06/06/2021","8.6139","8.6563","8.6892","8.5860","","-0.63%"
"06/04/2021","8.6681","8.7024","8.7600","8.6248","","0.14%"
"06/03/2021","8.6563","8.6873","8.7522","8.6155","","-0.53%"
"06/03/2021","8.7024","8.5946","8.7294","8.5749","","0.17%"
"06/02/2021","8.6875","8.5805","8.7189","8.5650","","1.10%"
"06/02/2021","8.5926","8.5419","8.7875","8.5236","","0.14%"
"06/01/2021","8.5810","8.6740","8.6759","8.5525","","0.52%"
"06/01/2021","8.5369","8.4884","8.5451","8.4598","","-1.52%"
"05/31/2021","8.6685","8.4794","8.7790","8.4585","","2.11%"
"05/31/2021","8.4896","8.5585","8.5939","8.4548","","0.12%"
